predictor,channel,condition,estimate,se,z,p,n_obs,n_subj,aic,bic,converged,p_fdr,sig_fdr,sig_unc
rpe_binary,Cz,no_rew,-0.12104460891340174,0.21761733764522534,-0.5562268623593628,0.5780557778823565,4011,43,24153.446277024355,24172.336664621667,True,,False,False
rpe_binary,Cz,low_rew,-0.21567516378961518,0.29076257164322467,-0.741756968824226,0.45823459659377197,2372,43,14540.843651466217,14558.15811774657,True,,False,False
rpe_binary,Cz,any_rew,-0.07359215202601418,0.22258236239366808,-0.330628856817757,0.7409248463879968,3952,43,23775.24746875331,23794.093399929912,True,,False,False
rpe_binary,Cz,stay,-0.02935202187042705,0.1335296396727318,-0.21981652869255103,0.8260140464200856,3935,43,23835.737471295262,23854.570469777816,True,,False,False
rpe_binary,Cz,shift,0.0607925173525735,0.13058689247173005,0.4655330730512183,0.6415497582451728,3985,43,23837.029110582444,23855.899988356116,True,,False,False
rpe_binary,Cz,rew_stay,0.12661002498063254,0.20227211038922568,0.6259391111162135,0.5313548798099412,2035,43,12543.155009844537,12560.009763138167,True,,False,False
rpe_binary,Cz,rew_shift,-0.2713773969909945,0.18122855822047118,-1.497431749475455,0.13428095214712946,1900,43,11271.059505468096,11287.70833296356,True,,False,False
rpe_binary,Cz,norew_stay,-0.01726814654115079,0.23657061078835315,-0.07299362538569788,0.9418111901855356,1473,43,8854.244037505683,8870.129206755071,True,,False,False
rpe_binary,Cz,norew_shift,0.05831663568036174,0.15777241513930562,0.3696250426848755,0.7116618892081514,2512,43,14987.299099407719,15004.785602990483,True,,False,False
rpe_binary,FC2,all,-0.020310991342142787,0.08588119961518274,-0.23650102039972032,0.8130439155715306,7963,43,47110.72289891736,47131.670582194136,True,,False,False
rpe_binary,FC2,high_rew,-0.503352008403164,0.3601837254368139,-1.3974868181307258,0.1622672278988575,1580,43,9332.733021805865,9348.828562183928,True,,False,False
rpe_binary,FC2,no_rew,-0.06331560547550641,0.06470011764051244,-0.9786010873627978,0.32777712181252383,4011,43,23709.02756972315,23727.91795732046,True,,False,False
rpe_binary,FC2,low_rew,0.4668097396844241,0.2637603243602014,1.7698254686968402,0.07675621975352945,2372,43,14078.853860546707,14096.16832682706,True,,False,False
rpe_binary,FC2,any_rew,0.13740204408319734,0.21250074638995423,0.6465955833917622,0.5178937172063147,3952,43,23409.06903566588,23427.914966842483,True,,False,False
rpe_binary,FC2,stay,0.05530128486545749,0.12678153637073325,0.436193521931664,0.6626963276317177,3935,43,23427.82201825183,23446.655016734385,True,,False,False
rpe_binary,FC2,shift,-0.07684523791412552,0.12440869245942754,-0.6176838321742387,0.536783771584544,3985,43,23450.942622063427,23469.8134998371,True,,False,False
rpe_binary,FC2,rew_stay,0.11383878856578279,0.19190604870279365,0.5932006277826385,0.5530468925506256,2035,43,12190.698375557891,12207.553128851521,True,,False,False
rpe_binary,FC2,rew_shift,-0.060073502752662045,0.16403514354623813,-0.3662233680780031,0.7141984064153304,1900,43,11241.965715902348,11258.614543397813,True,,False,False
rpe_binary,FC2,norew_stay,0.031190000537154813,0.19445347944010602,0.1603982640318951,0.8725673570174877,1473,43,8464.140348318873,8480.025517568261,True,,False,False
